evidence_status,research_use,case_id,title,family_id,variant_id,event_count,source_line_exact_count,source_line_adjacent_count,source_line_wrong_count,source_line_unverifiable_count,state_transition_correct_count,state_transition_incorrect_count,algorithmic_operation_correct_count,algorithmic_operation_incorrect_count,reason_state_consistent_count,reason_state_inconsistent_count,strategy_fidelity,step_completeness,temporal_ordering,final_state_consistency,critical_semantic_error,trace_perfect,simulated_issue
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,articulation_bridges,割点和桥,advanced_graph,v1,64,53,4,7,0,64,0,64,0,64,0,pass,pass,pass,pass,no,no,non-critical source-line concentration
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,articulation_bridges,割点和桥,advanced_graph,v2,100,91,6,2,1,100,0,100,0,99,1,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,convex_hull_expansion,凸包扩展样例,geometry_sweep,v1,40,37,2,1,0,40,0,40,0,40,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,convex_hull_expansion,凸包扩展样例,geometry_sweep,v2,44,40,3,1,0,44,0,44,0,44,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,heap_last_stone_full_edge,最后一块石头重量（边界样例）,heap_topk_huffman,v1,2,2,0,0,0,2,0,2,0,2,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,heap_last_stone_full_edge,最后一块石头重量（边界样例）,heap_topk_huffman,v2,5,5,0,0,0,5,0,5,0,5,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,gcd_euclid,最大公约数,math_bit,v1,18,17,1,0,0,18,0,18,0,18,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,gcd_euclid,最大公约数,math_bit,v2,14,13,1,0,0,14,0,14,0,14,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,huffman_merge_cost_synthetic,Huffman 合并总代价,heap_topk_huffman,v1,33,30,2,1,0,33,0,33,0,33,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,huffman_merge_cost_synthetic,Huffman 合并总代价,heap_topk_huffman,v2,48,44,3,1,0,48,0,48,0,48,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,tree_validate_bst_synthetic,验证二叉搜索树,tree_bst_lca,v1,17,16,1,0,0,17,0,17,0,17,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,tree_validate_bst_synthetic,验证二叉搜索树,tree_bst_lca,v2,27,25,2,0,0,27,0,27,0,27,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_topological_sort,拓扑排序,basic_graph,v1,30,28,2,0,0,30,0,30,0,30,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_topological_sort,拓扑排序,basic_graph,v2,28,26,1,1,0,28,0,28,0,28,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,lcs_length,最长公共子序列长度,dp_core,v1,114,104,8,1,1,114,0,114,0,113,1,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,lcs_length,最长公共子序列长度,dp_core,v2,151,138,9,3,1,150,1,150,1,150,1,fail,pass,pass,fail,yes,no,wrong algorithmic state update
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,segment_tree_range_sum,线段树区间和,range_structure,v1,15,14,1,0,0,15,0,15,0,15,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,segment_tree_range_sum,线段树区间和,range_structure,v2,64,59,4,1,0,64,0,64,0,64,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,string_count_palindromic_substrings_full_core,回文子串数量（核心样例）,string_advanced,v1,55,51,3,1,0,55,0,55,0,55,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,string_count_palindromic_substrings_full_core,回文子串数量（核心样例）,string_advanced,v2,60,55,4,1,0,60,0,60,0,60,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,sieve_primes,埃氏筛,math_bit,v1,62,56,4,1,1,62,0,62,0,61,1,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,sieve_primes,埃氏筛,math_bit,v2,44,40,3,1,0,44,0,44,0,44,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_lower_bound_full_transfer,下界插入位置（迁移样例）,binary_search,v1,8,8,0,0,0,8,0,8,0,8,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,binary_lower_bound_full_transfer,下界插入位置（迁移样例）,binary_search,v2,10,9,1,0,0,10,0,10,0,10,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,trie_prefix_expansion,Trie 前缀计数扩展样例,trie,v1,16,15,1,0,0,16,0,16,0,16,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,trie_prefix_expansion,Trie 前缀计数扩展样例,trie,v2,17,16,1,0,0,17,0,17,0,17,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_connected_components,图连通分量,basic_graph,v1,37,34,2,1,0,37,0,37,0,37,0,pass,pass,pass,pass,no,yes,
SYNTHETIC_LLM_PREVIEW,workflow_preview_only_not_human_evidence,graph_connected_components,图连通分量,basic_graph,v2,38,35,2,1,0,38,0,38,0,38,0,pass,pass,pass,pass,no,yes,
