case_id,title,family_id,family_label,subfamily_id,macro_group,process_profile,gate_layer,support_level,sample_index,attempt_source,artifact_path,artifact_sha256,variant_id,variant_name,solve_line_count,return_line_numbers,event_count,code_line_present_count,code_line_missing_count,code_line_invalid_count,code_line_out_of_range_count,code_line_1_count,code_line_1_rate,distinct_valid_code_line_count,dominant_code_line,dominant_code_line_count,dominant_code_line_share,single_line_collapse,first_line_collapse,canonical_answer_event_count,canonical_answer_event_return_match_count,canonical_answer_event_return_match_rate,canonical_answer_events_all_match
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_core_0.json,f244414e3149d2557b0f4f5e56f05bbe1f8e06772029953c239075ad9ccf9e71,v1,线性扫描计数,7,[7],13,13,0,0,0,13,1.000000,1,1,13,1.000000,True,True,1,0,0.000000,False
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_core_0.json,f244414e3149d2557b0f4f5e56f05bbe1f8e06772029953c239075ad9ccf9e71,v2,分治递归统计,10,"[5,7,9,10]",15,15,0,0,0,15,1.000000,1,1,15,1.000000,True,True,1,0,0.000000,False
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_edge_0.json,e0511b3504713d9a97696b7ac1811530241ae114d8dc44255ca9bc9d70a6d500,v1,遍历计数,7,[7],3,3,0,0,0,0,0.000000,3,2,1,0.333333,False,False,1,1,1.000000,True
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_edge_0.json,e0511b3504713d9a97696b7ac1811530241ae114d8dc44255ca9bc9d70a6d500,v2,指针遍历计数,9,[9],4,4,0,0,0,0,0.000000,4,2,1,0.250000,False,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_transfer_0.json,0f144d5db05bc553261aff50c2ec5165767727bbd0ef39a30cb96f0e88ee19a9,v1,遍历计数,7,[7],21,21,0,0,0,15,0.714286,5,1,15,0.714286,False,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_count_positive_full_transfer_0.json,0f144d5db05bc553261aff50c2ec5165767727bbd0ef39a30cb96f0e88ee19a9,v2,索引指针计数,9,[9],27,27,0,0,0,15,0.555556,7,1,15,0.555556,False,False,1,1,1.000000,True
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_core_0.json,2a5ff68063696c864e58ae42c90f4782523f22592b5eabfab5a65edd451d27d9,v1,一遍扫描 (当前长度),13,"[4,13]",27,27,0,0,0,8,0.296296,9,1,8,0.296296,False,False,1,1,1.000000,True
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_core_0.json,2a5ff68063696c864e58ae42c90f4782523f22592b5eabfab5a65edd451d27d9,v2,双指针 (左边界),12,"[4,12]",25,25,0,0,0,8,0.320000,8,1,8,0.320000,False,False,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_edge_0.json,6eeba4a3dd82c414a3090f29cbffb378c67aed2c1cc2e5d7c1d4c921527777ae,v1,扫描法,16,"[4,16]",2,2,0,0,0,2,1.000000,1,1,2,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_edge_0.json,6eeba4a3dd82c414a3090f29cbffb378c67aed2c1cc2e5d7c1d4c921527777ae,v2,双指针法,13,"[4,13]",2,2,0,0,0,2,1.000000,1,1,2,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_transfer_0.json,b38b366fd3c946c522dceb0e3365ff65a2cb70fa9dd192c3ee3d1cefa388ddcf,v1,单指针扫描,12,"[4,12]",41,41,0,0,0,30,0.731707,7,1,30,0.731707,False,False,1,0,0.000000,False
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_longest_run_full_transfer_0.json,b38b366fd3c946c522dceb0e3365ff65a2cb70fa9dd192c3ee3d1cefa388ddcf,v2,双指针滑动窗口,13,"[5,13]",37,37,0,0,0,30,0.810811,7,1,30,0.810811,False,False,1,0,0.000000,False
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_core_0.json,8382cb929a6f307be5d542f7cd50a69a05db6c7e4b7317389164b4fac5f5b9bc,v1,动态左和,9,"[7,9]",26,26,0,0,0,0,0.000000,6,5,19,0.730769,False,False,1,1,1.000000,True
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_core_0.json,8382cb929a6f307be5d542f7cd50a69a05db6c7e4b7317389164b4fac5f5b9bc,v2,前缀和数组,11,"[10,11]",54,54,0,0,0,0,0.000000,5,5,49,0.907407,False,False,1,1,1.000000,True
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_edge_0.json,b069c60bf74c0bf470253b874f497b7c6d3e1c234d08b829b2a3ed48c9434e02,v1,左右累加,9,"[7,9]",5,5,0,0,1,0,0.000000,4,2,1,0.200000,False,False,1,0,0.000000,False
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_edge_0.json,b069c60bf74c0bf470253b874f497b7c6d3e1c234d08b829b2a3ed48c9434e02,v2,前缀和表,13,"[5,12,13]",2,2,0,0,0,0,0.000000,1,4,2,1.000000,True,False,1,0,0.000000,False
array_pivot_index_full_transfer,数组平衡下标（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_transfer_0.json,4f5f8bddd6d9eb93e31599355bc0d251c810d166d445c0dfa9baae2af550266a,v1,总和与左侧和,9,"[7,9]",29,29,0,0,0,0,0.000000,6,5,15,0.517241,False,False,1,1,1.000000,True
array_pivot_index_full_transfer,数组平衡下标（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/algotutorgen_full_200_20260706/algolab_full_final/llm_array_pivot_index_full_transfer_0.json,4f5f8bddd6d9eb93e31599355bc0d251c810d166d445c0dfa9baae2af550266a,v2,前缀和数组,11,"[10,11]",41,41,0,0,0,0,0.000000,7,8,30,0.731707,False,False,1,1,1.000000,True
