case_id,title,family_id,family_label,subfamily_id,macro_group,process_profile,gate_layer,support_level,sample_index,attempt_source,artifact_path,artifact_sha256,variant_id,variant_name,solve_line_count,return_line_numbers,event_count,code_line_present_count,code_line_missing_count,code_line_invalid_count,code_line_out_of_range_count,code_line_1_count,code_line_1_rate,distinct_valid_code_line_count,dominant_code_line,dominant_code_line_count,dominant_code_line_share,single_line_collapse,first_line_collapse,canonical_answer_event_count,canonical_answer_event_return_match_count,canonical_answer_event_return_match_rate,canonical_answer_events_all_match
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_core_0.json,432e16392f30c9bbd4e97bb088efbcb1d79503d5e41564b1f2423686e069ee8a,v1,线性扫描计数,7,[7],21,21,0,0,0,0,0.000000,5,4,16,0.761905,False,False,1,1,1.000000,True
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_core_0.json,432e16392f30c9bbd4e97bb088efbcb1d79503d5e41564b1f2423686e069ee8a,v2,排序 + 二分查找,15,"[7,15]",53,53,0,0,0,1,0.018868,9,7,38,0.716981,False,False,1,0,0.000000,False
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_edge_0.json,7e9332abc70a11555bf2e75a9bee872da399e36241ab3789e40c3af6010bd041,v1,for 循环计数,7,[7],3,3,0,0,0,0,0.000000,3,2,1,0.333333,False,False,1,1,1.000000,True
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_edge_0.json,7e9332abc70a11555bf2e75a9bee872da399e36241ab3789e40c3af6010bd041,v2,while 循环 + 指针,10,[10],4,4,0,0,0,0,0.000000,4,2,1,0.250000,False,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_transfer_0.json,7686790c4ba0f9e6b44f4c688bead2e3dbfd93d535d37a5998154340e4ca4f72,v1,遍历扫描,7,[7],13,13,0,0,0,0,0.000000,5,4,7,0.538462,False,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_count_positive_full_transfer_0.json,7686790c4ba0f9e6b44f4c688bead2e3dbfd93d535d37a5998154340e4ca4f72,v2,指针扫描,9,[9],27,27,0,0,0,0,0.000000,7,5,15,0.555556,False,False,1,1,1.000000,True
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_core_0.json,a2911eafd47aa815430c404d80406819a3b6ea2005159f573dff676a253e9b4d,v1,单遍计数,12,"[4,12]",28,28,0,0,0,0,0.000000,7,5,16,0.571429,False,False,1,0,0.000000,False
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_core_0.json,a2911eafd47aa815430c404d80406819a3b6ea2005159f573dff676a253e9b4d,v2,滑动窗口,11,"[4,11]",27,27,0,0,0,0,0.000000,7,6,17,0.629630,False,False,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_edge_0.json,09d4b30e51e7a40becae556bd86896ae0040d85186e84d3abf3204fb48b948f3,v1,单指针扫描,13,"[4,13]",2,2,0,0,0,2,1.000000,1,1,2,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_edge_0.json,09d4b30e51e7a40becae556bd86896ae0040d85186e84d3abf3204fb48b948f3,v2,双指针滑动窗口,14,"[4,14]",2,2,0,0,0,2,1.000000,1,1,2,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_transfer_0.json,08871e10811bf4d9133f460d7cbad4d935baccde44554766a98afe6aa19dfab7,v1,一次遍历贪心,13,"[4,13]",41,41,0,0,0,0,0.000000,7,7,30,0.731707,False,False,1,1,1.000000,True
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_longest_run_full_transfer_0.json,08871e10811bf4d9133f460d7cbad4d935baccde44554766a98afe6aa19dfab7,v2,动态规划,12,"[4,12]",40,40,0,0,0,0,0.000000,6,8,34,0.850000,False,False,1,1,1.000000,True
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_pivot_index_full_core_0.json,70ced930352bd1e0374c65d20711908ff10744854736fdaef638d5c01df9ccce,v1,总和比较法,9,"[7,9]",23,23,0,0,0,0,0.000000,5,5,17,0.739130,False,False,1,1,1.000000,True
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_pivot_index_full_core_0.json,70ced930352bd1e0374c65d20711908ff10744854736fdaef638d5c01df9ccce,v2,前后缀数组法,13,"[12,13]",27,27,0,0,0,0,0.000000,5,5,23,0.851852,False,False,1,1,1.000000,True
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_pivot_index_full_edge_0.json,d9b9a84d5f52dbff31b839e18bdbc513c3df1d9ab58ce21cb3f4c05c71489f39,v1,前缀和差值平衡,12,"[5,10,12]",4,4,0,0,0,0,0.000000,4,2,1,0.250000,False,False,1,1,1.000000,True
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_pivot_index_full_edge_0.json,d9b9a84d5f52dbff31b839e18bdbc513c3df1d9ab58ce21cb3f4c05c71489f39,v2,前缀和数组查询,13,"[5,12,13]",3,3,0,0,0,0,0.000000,3,2,1,0.333333,False,False,1,0,0.000000,False
array_pivot_index_full_transfer,数组平衡下标（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/hybrid_current/llm_array_pivot_index_full_transfer_0.json,71a727294411bdbdcb63837b49fedce83a019066e3f3db16ce05570c0360cfa7,v1,一次遍历 + 总和,9,"[7,9]",30,30,0,0,0,0,0.000000,6,5,21,0.700000,False,False,1,1,1.000000,True
