case_id,title,family_id,family_label,subfamily_id,macro_group,process_profile,gate_layer,support_level,sample_index,attempt_source,artifact_path,artifact_sha256,variant_id,variant_name,solve_line_count,return_line_numbers,event_count,code_line_present_count,code_line_missing_count,code_line_invalid_count,code_line_out_of_range_count,code_line_1_count,code_line_1_rate,distinct_valid_code_line_count,dominant_code_line,dominant_code_line_count,dominant_code_line_share,single_line_collapse,first_line_collapse,canonical_answer_event_count,canonical_answer_event_return_match_count,canonical_answer_event_return_match_rate,canonical_answer_events_all_match
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_core_0.json,c4c13ae55e1de6a911ed94623c4515363452210f0e02b1adeb9981af57fbbed8,v1,线性扫描累加器,7,[7],11,11,0,0,0,11,1.000000,1,1,11,1.000000,True,True,1,0,0.000000,False
array_count_positive_full_core,统计正数个数（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_core_0.json,c4c13ae55e1de6a911ed94623c4515363452210f0e02b1adeb9981af57fbbed8,v2,频次累加器,8,[8],12,12,0,0,0,12,1.000000,1,1,12,1.000000,True,True,1,0,0.000000,False
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_edge_0.json,2923745119075be46de4492c618be1e75900cde9cab5859c0049797d91d4cad8,v1,遍历计数,7,[7],4,4,0,0,0,0,0.000000,3,2,2,0.500000,False,False,1,1,1.000000,True
array_count_positive_full_edge,统计正数个数（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_edge_0.json,2923745119075be46de4492c618be1e75900cde9cab5859c0049797d91d4cad8,v2,标记映射,2,[2],4,4,0,0,0,0,0.000000,1,2,4,1.000000,True,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_transfer_0.json,55c1f2a6a4939e7ed288ccc78ed3f25fb2de0718457b855aba6bc0660dc378e9,v1,线性扫描计数,7,[7],22,22,0,0,0,0,0.000000,5,4,16,0.727273,False,False,1,1,1.000000,True
array_count_positive_full_transfer,统计正数个数（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,array_scan_count,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_count_positive_full_transfer_0.json,55c1f2a6a4939e7ed288ccc78ed3f25fb2de0718457b855aba6bc0660dc378e9,v2,过滤收集后计数,7,[7],26,26,0,0,7,0,0.000000,4,5,16,0.615385,False,False,1,0,0.000000,False
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_core_0.json,e92859a6cdf7d4e1dcc14a4f4aeaf7dfb005f0b412264ce9f81f07a9978dbec5,v1,遍历计数法,13,"[4,13]",46,46,0,0,0,46,1.000000,1,1,46,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_core,最长非递减连续段（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_core_0.json,e92859a6cdf7d4e1dcc14a4f4aeaf7dfb005f0b412264ce9f81f07a9978dbec5,v2,滑动窗口双指针,12,"[5,12]",39,39,0,0,0,39,1.000000,1,1,39,1.000000,True,True,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_edge_0.json,564d41d652c8b96f975573c3087d62339106cb2e6ebef4a1efd3d52ff0c81548,v1,一次遍历,15,"[4,15]",2,2,0,0,0,0,0.000000,2,2,1,0.500000,False,False,1,0,0.000000,False
array_longest_run_full_edge,最长非递减连续段（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_edge_0.json,564d41d652c8b96f975573c3087d62339106cb2e6ebef4a1efd3d52ff0c81548,v2,动态规划,15,"[4,15]",2,2,0,0,0,0,0.000000,1,3,2,1.000000,True,False,1,0,0.000000,False
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_transfer_0.json,a6c7242e36b066c478d4b956b3858deb7c95e47ff99ac3c161418aa23671a549,v1,单指针滑动窗口,14,"[4,14]",44,44,0,0,0,0,0.000000,8,7,27,0.613636,False,False,1,0,0.000000,False
array_longest_run_full_transfer,最长非递减连续段（迁移样例）,array_pointer,数组指针 / 窗口 / 前缀,run_length_scan,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_longest_run_full_transfer_0.json,a6c7242e36b066c478d4b956b3858deb7c95e47ff99ac3c161418aa23671a549,v2,动态规划表,15,"[4,15]",49,49,0,0,1,0,0.000000,6,12,37,0.755102,False,False,1,0,0.000000,False
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_pivot_index_full_core_0.json,549b8759da9013b2ba87978bc6290e4e6148975c924aecb00aeca2cc42bac5df,v1,单遍前缀和（空间优化）,9,"[7,9]",18,18,0,0,0,0,0.000000,5,5,12,0.666667,False,False,1,0,0.000000,False
array_pivot_index_full_core,数组平衡下标（核心样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_pivot_index_full_core_0.json,549b8759da9013b2ba87978bc6290e4e6148975c924aecb00aeca2cc42bac5df,v2,前缀和数组寻址,11,"[10,11]",27,27,0,0,0,6,0.222222,7,1,6,0.222222,False,False,1,0,0.000000,False
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_pivot_index_full_edge_0.json,aeb5150e24989498f8db984b7f6c28a318c8a31144de020275393327e6ac43f7,v1,一次遍历动态计算,13,"[5,11,13]",6,6,0,0,0,0,0.000000,3,4,4,0.666667,False,False,1,1,1.000000,True
array_pivot_index_full_edge,数组平衡下标（边界样例）,array_pointer,数组指针 / 窗口 / 前缀,prefix_balance,sequence_search_sort,array_pointer,expansion,strong,0,primary,/ssd1/liaokunpeng/paper/ailab-agent/output/experiments/plan2_20260722/p0_2_prompt_ablation/full200/service_only/llm_array_pivot_index_full_edge_0.json,aeb5150e24989498f8db984b7f6c28a318c8a31144de020275393327e6ac43f7,v2,前缀和查表,15,"[5,14,15]",4,4,0,0,0,0,0.000000,3,4,2,0.500000,False,False,1,1,1.000000,True
